 set([12]) => set([16]) , (sup = 332162),(conf = 0.9781035224)
 set([16]) => set([12]) , (sup = 332162),(conf = 0.999250927316)
 set([12]) => set([17]) , (sup = 339566),(conf = 0.999905770941)
 set([17]) => set([12]) , (sup = 339566),(conf = 0.998288980091)
 set([12]) => set([18]) , (sup = 338918),(conf = 0.997997632495)
 set([18]) => set([12]) , (sup = 338918),(conf = 0.999486864922)
 set([21]) => set([12]) , (sup = 301936),(conf = 0.998323651068)
 set([12]) => set([21]) , (sup = 301936),(conf = 0.889098286798)
 set([12]) => set([27]) , (sup = 283577),(conf = 0.835037308818)
 set([27]) => set([12]) , (sup = 283577),(conf = 0.998394552746)
 set([29]) => set([12]) , (sup = 298677),(conf = 0.998292043799)
 set([12]) => set([29]) , (sup = 298677),(conf = 0.879501646064)
 set([31]) => set([12]) , (sup = 317533),(conf = 0.998493767531)
 set([12]) => set([31]) , (sup = 317533),(conf = 0.935026119117)
 set([12]) => set([43]) , (sup = 290896),(conf = 0.856589261421)
 set([43]) => set([12]) , (sup = 290896),(conf = 0.99828754783)
 set([17]) => set([16]) , (sup = 332379),(conf = 0.977159942143)
 set([16]) => set([17]) , (sup = 332379),(conf = 0.999903733631)
 set([18]) => set([16]) , (sup = 331645),(conf = 0.978038408456)
 set([16]) => set([18]) , (sup = 331645),(conf = 0.997695623791)
 set([21]) => set([16]) , (sup = 295348),(conf = 0.976541034178)
 set([16]) => set([21]) , (sup = 295348),(conf = 0.88850248638)
 set([29]) => set([16]) , (sup = 291955),(conf = 0.975824565156)
 set([16]) => set([29]) , (sup = 291955),(conf = 0.878295242937)
 set([31]) => set([16]) , (sup = 312201),(conf = 0.981727104638)
 set([16]) => set([31]) , (sup = 312201),(conf = 0.939201771301)
 set([43]) => set([16]) , (sup = 285217),(conf = 0.978798538067)
 set([16]) => set([43]) , (sup = 285217),(conf = 0.858025155606)
 set([18]) => set([17]) , (sup = 339060),(conf = 0.99990563033)
 set([17]) => set([18]) , (sup = 339060),(conf = 0.996801392335)
 set([21]) => set([17]) , (sup = 302412),(conf = 0.999897501347)
 set([17]) => set([21]) , (sup = 302412),(conf = 0.889060056211)
 set([27]) => set([17]) , (sup = 284005),(conf = 0.999901419905)
 set([17]) => set([27]) , (sup = 284005),(conf = 0.834945376718)
 set([29]) => set([17]) , (sup = 299156),(conf = 0.999893043839)
 set([17]) => set([29]) , (sup = 299156),(conf = 0.87948775239)
 set([31]) => set([17]) , (sup = 317985),(conf = 0.999915097543)
 set([17]) => set([31]) , (sup = 317985),(conf = 0.934843068311)
 set([43]) => set([17]) , (sup = 291363),(conf = 0.999890183428)
 set([17]) => set([43]) , (sup = 291363),(conf = 0.856577137011)
 set([21]) => set([18]) , (sup = 301475),(conf = 0.996799396911)
 set([18]) => set([21]) , (sup = 301475),(conf = 0.889065504347)
 set([27]) => set([18]) , (sup = 283183),(conf = 0.997007389986)
 set([18]) => set([27]) , (sup = 283183),(conf = 0.835121441969)
 set([29]) => set([18]) , (sup = 298194),(conf = 0.996677674238)
 set([18]) => set([29]) , (sup = 298194),(conf = 0.879389664162)
 set([31]) => set([18]) , (sup = 317100),(conf = 0.997132183691)
 set([18]) => set([31]) , (sup = 317100),(conf = 0.935144444576)
 set([43]) => set([18]) , (sup = 290490),(conf = 0.996894250073)
 set([18]) => set([43]) , (sup = 290490),(conf = 0.856670166209)
 set([31]) => set([21]) , (sup = 284151),(conf = 0.893522885929)
 set([21]) => set([31]) , (sup = 284151),(conf = 0.939519182127)
 set([31]) => set([29]) , (sup = 279678),(conf = 0.879457378967)
 set([29]) => set([31]) , (sup = 279678),(conf = 0.934790165381)
 set([21]) => set([17, 18, 31]) , (sup = 283306),(conf = 0.93672526724)
 set([18]) => set([17, 21, 31]) , (sup = 283306),(conf = 0.835484175386)
 set([17]) => set([18, 21, 31]) , (sup = 283306),(conf = 0.83289038889)
 set([21, 31]) => set([17, 18]) , (sup = 283306),(conf = 0.997026229012)
 set([18, 31]) => set([17, 21]) , (sup = 283306),(conf = 0.893427940713)
 set([18, 21]) => set([17, 31]) , (sup = 283306),(conf = 0.939732979517)
 set([17, 31]) => set([18, 21]) , (sup = 283306),(conf = 0.890941396607)
 set([17, 21]) => set([18, 31]) , (sup = 283306),(conf = 0.93682129016)
 set([17, 18]) => set([21, 31]) , (sup = 283306),(conf = 0.835563027193)
 set([18, 21, 31]) => set([17]) , (sup = 283306),(conf = 0.999911763979)
 set([17, 21, 31]) => set([18]) , (sup = 283306),(conf = 0.997113956484)
 set([17, 18, 31]) => set([21]) , (sup = 283306),(conf = 0.893501201612)
 set([17, 18, 21]) => set([31]) , (sup = 283306),(conf = 0.939829620095)
 set([31]) => set([17, 18, 29]) , (sup = 278819),(conf = 0.876756223036)
 set([29]) => set([17, 18, 31]) , (sup = 278819),(conf = 0.931919060925)
 set([18]) => set([17, 29, 31]) , (sup = 278819),(conf = 0.822251778278)
 set([17]) => set([18, 29, 31]) , (sup = 278819),(conf = 0.819699072169)
 set([29, 31]) => set([17, 18]) , (sup = 278819),(conf = 0.99692861076)
 set([18, 31]) => set([17, 29]) , (sup = 278819),(conf = 0.879277830337)
 set([18, 29]) => set([17, 31]) , (sup = 278819),(conf = 0.935025520299)
 set([17, 31]) => set([18, 29]) , (sup = 278819),(conf = 0.876830668113)
 set([17, 29]) => set([18, 31]) , (sup = 278819),(conf = 0.932018746072)
 set([17, 18]) => set([29, 31]) , (sup = 278819),(conf = 0.82232938123)
 set([18, 29, 31]) => set([17]) , (sup = 278819),(conf = 0.999906758235)
 set([17, 29, 31]) => set([18]) , (sup = 278819),(conf = 0.997021297899)
 set([17, 18, 31]) => set([29]) , (sup = 278819),(conf = 0.879349930931)
 set([17, 18, 29]) => set([31]) , (sup = 278819),(conf = 0.935125871171)
 set([21]) => set([16, 17, 18, 12]) , (sup = 294483),(conf = 0.973680991129)
 set([12]) => set([16, 17, 18, 21]) , (sup = 294483),(conf = 0.86715175001)
 set([18]) => set([16, 17, 12, 21]) , (sup = 294483),(conf = 0.868445731542)
 set([17]) => set([16, 18, 12, 21]) , (sup = 294483),(conf = 0.865749614874)
 set([16]) => set([17, 18, 12, 21]) , (sup = 294483),(conf = 0.885900286092)
 set([12, 21]) => set([16, 17, 18]) , (sup = 294483),(conf = 0.975315960998)
 set([18, 21]) => set([16, 17, 12]) , (sup = 294483),(conf = 0.976807363795)
 set([18, 12]) => set([16, 17, 21]) , (sup = 294483),(conf = 0.868891590296)
 set([17, 21]) => set([16, 18, 12]) , (sup = 294483),(conf = 0.973780802349)
 set([17, 12]) => set([16, 18, 21]) , (sup = 294483),(conf = 0.867233468604)
 set([17, 18]) => set([16, 12, 21]) , (sup = 294483),(conf = 0.868527694213)
 set([16, 21]) => set([17, 18, 12]) , (sup = 294483),(conf = 0.997071251541)
 set([16, 12]) => set([17, 18, 21]) , (sup = 294483),(conf = 0.886564387257)
 set([16, 18]) => set([17, 12, 21]) , (sup = 294483),(conf = 0.887946448763)
 set([16, 17]) => set([18, 12, 21]) , (sup = 294483),(conf = 0.885985576706)
 set([18, 12, 21]) => set([16, 17]) , (sup = 294483),(conf = 0.977329297676)
 set([17, 12, 21]) => set([16, 18]) , (sup = 294483),(conf = 0.975416107716)
 set([17, 18, 21]) => set([16, 12]) , (sup = 294483),(conf = 0.976907817041)
 set([17, 18, 12]) => set([16, 21]) , (sup = 294483),(conf = 0.868973637152)
 set([16, 12, 21]) => set([17, 18]) , (sup = 294483),(conf = 0.997804364841)
 set([16, 18, 21]) => set([17, 12]) , (sup = 294483),(conf = 0.999399307677)
 set([16, 18, 12]) => set([17, 21]) , (sup = 294483),(conf = 0.888369679656)
 set([16, 17, 21]) => set([18, 12]) , (sup = 294483),(conf = 0.99717591605)
 set([16, 17, 12]) => set([18, 21]) , (sup = 294483),(conf = 0.886649805799)
 set([16, 17, 18]) => set([12, 21]) , (sup = 294483),(conf = 0.888032133843)
 set([17, 18, 12, 21]) => set([16]) , (sup = 294483),(conf = 0.977429858306)
 set([16, 18, 12, 21]) => set([17]) , (sup = 294483),(conf = 0.999894741846)
 set([16, 17, 12, 21]) => set([18]) , (sup = 294483),(conf = 0.997909183328)
 set([16, 17, 18, 21]) => set([12]) , (sup = 294483),(conf = 0.999504461543)
 set([16, 17, 18, 12]) => set([21]) , (sup = 294483),(conf = 0.888455446441)
 set([29]) => set([16, 17, 18, 12]) , (sup = 291069),(conf = 0.972863216439)
 set([12]) => set([16, 17, 18, 29]) , (sup = 291069),(conf = 0.857098687271)
 set([18]) => set([16, 17, 12, 29]) , (sup = 291069),(conf = 0.858377667418)
 set([17]) => set([16, 18, 12, 29]) , (sup = 291069),(conf = 0.855712807366)
 set([16]) => set([17, 18, 12, 29]) , (sup = 291069),(conf = 0.875629867844)
 set([12, 29]) => set([16, 17, 18]) , (sup = 291069),(conf = 0.974527667012)
 set([18, 29]) => set([16, 17, 12]) , (sup = 291069),(conf = 0.976106159078)
 set([18, 12]) => set([16, 17, 29]) , (sup = 291069),(conf = 0.858818357243)
 set([17, 29]) => set([16, 18, 12]) , (sup = 291069),(conf = 0.972967281285)
 set([17, 12]) => set([16, 18, 29]) , (sup = 291069),(conf = 0.857179458485)
 set([17, 18]) => set([16, 12, 29]) , (sup = 291069),(conf = 0.85845867988)
 set([16, 29]) => set([17, 18, 12]) , (sup = 291069),(conf = 0.996965285746)
 set([16, 12]) => set([17, 18, 29]) , (sup = 291069),(conf = 0.876286269953)
 set([16, 18]) => set([17, 12, 29]) , (sup = 291069),(conf = 0.877652308945)
 set([16, 17]) => set([18, 12, 29]) , (sup = 291069),(conf = 0.875714169668)
 set([18, 12, 29]) => set([16, 17]) , (sup = 291069),(conf = 0.976617075675)
 set([17, 12, 29]) => set([16, 18]) , (sup = 291069),(conf = 0.974632088265)
 set([17, 18, 29]) => set([16, 12]) , (sup = 291069),(conf = 0.976210918896)
 set([17, 18, 12]) => set([16, 29]) , (sup = 291069),(conf = 0.858899452913)
 set([16, 12, 29]) => set([17, 18]) , (sup = 291069),(conf = 0.997717106278)
 set([16, 18, 29]) => set([17, 12]) , (sup = 291069),(conf = 0.999405992268)
 set([16, 18, 12]) => set([17, 29]) , (sup = 291069),(conf = 0.878070633238)
 set([16, 17, 29]) => set([18, 12]) , (sup = 291069),(conf = 0.997074571034)
 set([16, 17, 12]) => set([18, 29]) , (sup = 291069),(conf = 0.876370698221)
 set([16, 17, 18]) => set([12, 29]) , (sup = 291069),(conf = 0.87773700066)
 set([17, 18, 12, 29]) => set([16]) , (sup = 291069),(conf = 0.976721945196)
 set([16, 18, 12, 29]) => set([17]) , (sup = 291069),(conf = 0.999890072518)
 set([16, 17, 12, 29]) => set([18]) , (sup = 291069),(conf = 0.997826556463)
 set([16, 17, 18, 29]) => set([12]) , (sup = 291069),(conf = 0.999515813331)
 set([16, 17, 18, 12]) => set([29]) , (sup = 291069),(conf = 0.878155405711)
 set([31]) => set([16, 17, 18, 12]) , (sup = 311408),(conf = 0.979233488044)
 set([12]) => set([16, 17, 18, 31]) , (sup = 311408),(conf = 0.916990088281)
 set([18]) => set([16, 17, 12, 31]) , (sup = 311408),(conf = 0.918358439598)
 set([17]) => set([16, 18, 12, 31]) , (sup = 311408),(conf = 0.915507367381)
 set([16]) => set([17, 18, 12, 31]) , (sup = 311408),(conf = 0.936816170343)
 set([12, 31]) => set([16, 17, 18]) , (sup = 311408),(conf = 0.980710666293)
 set([18, 31]) => set([16, 17, 12]) , (sup = 311408),(conf = 0.982049826553)
 set([18, 12]) => set([16, 17, 31]) , (sup = 311408),(conf = 0.918829923462)
 set([17, 31]) => set([16, 18, 12]) , (sup = 311408),(conf = 0.979316634432)
 set([17, 12]) => set([16, 18, 31]) , (sup = 311408),(conf = 0.917076503537)
 set([17, 18]) => set([16, 12, 31]) , (sup = 311408),(conf = 0.918445112959)
 set([16, 31]) => set([17, 18, 12]) , (sup = 311408),(conf = 0.997459969699)
 set([16, 12]) => set([17, 18, 31]) , (sup = 311408),(conf = 0.937518439797)
 set([16, 18]) => set([17, 12, 31]) , (sup = 311408),(conf = 0.938979933362)
 set([16, 17]) => set([18, 12, 31]) , (sup = 311408),(conf = 0.936906362917)
 set([18, 12, 31]) => set([16, 17]) , (sup = 311408),(conf = 0.982492893358)
 set([17, 12, 31]) => set([16, 18]) , (sup = 311408),(conf = 0.980790974687)
 set([17, 18, 31]) => set([16, 12]) , (sup = 311408),(conf = 0.982130354428)
 set([17, 18, 12]) => set([16, 31]) , (sup = 311408),(conf = 0.918916685847)
 set([16, 12, 31]) => set([17, 18]) , (sup = 311408),(conf = 0.998083370192)
 set([16, 18, 31]) => set([17, 12]) , (sup = 311408),(conf = 0.999492884333)
 set([16, 18, 12]) => set([17, 31]) , (sup = 311408),(conf = 0.939427488861)
 set([16, 17, 31]) => set([18, 12]) , (sup = 311408),(conf = 0.997543044767)
 set([16, 17, 12]) => set([18, 31]) , (sup = 311408),(conf = 0.937608767651)
 set([16, 17, 18]) => set([12, 31]) , (sup = 311408),(conf = 0.939070543073)
 set([17, 18, 12, 31]) => set([16]) , (sup = 311408),(conf = 0.982573493915)
 set([16, 18, 12, 31]) => set([17]) , (sup = 311408),(conf = 0.999916515217)
 set([16, 17, 12, 31]) => set([18]) , (sup = 311408),(conf = 0.998166549138)
 set([16, 17, 18, 31]) => set([12]) , (sup = 311408),(conf = 0.999576298389)
 set([16, 17, 18, 12]) => set([31]) , (sup = 311408),(conf = 0.939518184972)
 set([12]) => set([16, 17, 18, 43]) , (sup = 284416),(conf = 0.83750787696)
 set([43]) => set([16, 17, 18, 12]) , (sup = 284416),(conf = 0.976049691999)
 set([18]) => set([16, 17, 43, 12]) , (sup = 284416),(conf = 0.8387576233)
 set([17]) => set([16, 18, 43, 12]) , (sup = 284416),(conf = 0.836153674283)
 set([16]) => set([17, 18, 43, 12]) , (sup = 284416),(conf = 0.855615488055)
 set([43, 12]) => set([16, 17, 18]) , (sup = 284416),(conf = 0.97772399758)
 set([18, 12]) => set([16, 17, 43]) , (sup = 284416),(conf = 0.839188240223)
 set([18, 43]) => set([16, 17, 12]) , (sup = 284416),(conf = 0.979090502255)
 set([17, 12]) => set([16, 18, 43]) , (sup = 284416),(conf = 0.837586801977)
 set([17, 43]) => set([16, 18, 12]) , (sup = 284416),(conf = 0.976156890202)
 set([17, 18]) => set([16, 43, 12]) , (sup = 284416),(conf = 0.83883678405)
 set([16, 12]) => set([17, 18, 43]) , (sup = 284416),(conf = 0.8562568867)
 set([16, 43]) => set([17, 18, 12]) , (sup = 284416),(conf = 0.997191612001)
 set([16, 18]) => set([17, 43, 12]) , (sup = 284416),(conf = 0.85759170197)
 set([16, 17]) => set([18, 43, 12]) , (sup = 284416),(conf = 0.855697862982)
 set([18, 43, 12]) => set([16, 17]) , (sup = 284416),(conf = 0.979603083303)
 set([17, 43, 12]) => set([16, 18]) , (sup = 284416),(conf = 0.977824840304)
 set([17, 18, 12]) => set([16, 43]) , (sup = 284416),(conf = 0.83926748228)
 set([17, 18, 43]) => set([16, 12]) , (sup = 284416),(conf = 0.979191627074)
 set([16, 43, 12]) => set([17, 18]) , (sup = 284416),(conf = 0.997947375623)
 set([16, 18, 12]) => set([17, 43]) , (sup = 284416),(conf = 0.858000464573)
 set([16, 18, 43]) => set([17, 12]) , (sup = 284416),(conf = 0.999402641029)
 set([16, 17, 12]) => set([18, 43]) , (sup = 284416),(conf = 0.856339385181)
 set([16, 17, 43]) => set([18, 12]) , (sup = 284416),(conf = 0.997296510711)
 set([16, 17, 18]) => set([43, 12]) , (sup = 284416),(conf = 0.857674457877)
 set([17, 18, 43, 12]) => set([16]) , (sup = 284416),(conf = 0.979704314039)
 set([16, 18, 43, 12]) => set([17]) , (sup = 284416),(conf = 0.999894531827)
 set([16, 17, 43, 12]) => set([18]) , (sup = 284416),(conf = 0.998052433406)
 set([16, 17, 18, 12]) => set([43]) , (sup = 284416),(conf = 0.858083299392)
 set([16, 17, 18, 43]) => set([12]) , (sup = 284416),(conf = 0.999508005454)
 set([31]) => set([16, 17, 12, 21]) , (sup = 278575),(conf = 0.875988956392)
 set([21]) => set([16, 17, 12, 31]) , (sup = 278575),(conf = 0.921082650285)
 set([12]) => set([16, 17, 21, 31]) , (sup = 278575),(conf = 0.820308129023)
 set([17]) => set([16, 12, 21, 31]) , (sup = 278575),(conf = 0.818981737361)
 set([16]) => set([17, 12, 21, 31]) , (sup = 278575),(conf = 0.838043867381)
 set([21, 31]) => set([16, 17, 12]) , (sup = 278575),(conf = 0.980376630735)
 set([12, 31]) => set([16, 17, 21]) , (sup = 278575),(conf = 0.877310389786)
 set([12, 21]) => set([16, 17, 31]) , (sup = 278575),(conf = 0.922629298924)
 set([17, 31]) => set([16, 12, 21]) , (sup = 278575),(conf = 0.876063336321)
 set([17, 21]) => set([16, 12, 31]) , (sup = 278575),(conf = 0.921177069693)
 set([17, 12]) => set([16, 21, 31]) , (sup = 278575),(conf = 0.820385433171)
 set([16, 31]) => set([17, 12, 21]) , (sup = 278575),(conf = 0.892293746657)
 set([16, 21]) => set([17, 12, 31]) , (sup = 278575),(conf = 0.943209366578)
 set([16, 12]) => set([17, 21, 31]) , (sup = 278575),(conf = 0.838672093737)
 set([16, 17]) => set([12, 21, 31]) , (sup = 278575),(conf = 0.838124550588)
 set([12, 21, 31]) => set([16, 17]) , (sup = 278575),(conf = 0.981845160472)
 set([17, 21, 31]) => set([16, 12]) , (sup = 278575),(conf = 0.980462893223)
 set([17, 12, 31]) => set([16, 21]) , (sup = 278575),(conf = 0.877382230943)
 set([17, 12, 21]) => set([16, 31]) , (sup = 278575),(conf = 0.922724035707)
 set([16, 21, 31]) => set([17, 12]) , (sup = 278575),(conf = 0.999278991018)
 set([16, 12, 31]) => set([17, 21]) , (sup = 278575),(conf = 0.892851419524)
 set([16, 12, 21]) => set([17, 31]) , (sup = 278575),(conf = 0.943902877027)
 set([16, 17, 31]) => set([12, 21]) , (sup = 278575),(conf = 0.892368062785)
 set([16, 17, 21]) => set([12, 31]) , (sup = 278575),(conf = 0.9433083771)
 set([16, 17, 12]) => set([21, 31]) , (sup = 278575),(conf = 0.838752897962)
 set([17, 12, 21, 31]) => set([16]) , (sup = 278575),(conf = 0.981931681594)
 set([16, 12, 21, 31]) => set([17]) , (sup = 278575),(conf = 0.999910265614)
 set([16, 17, 21, 31]) => set([12]) , (sup = 278575),(conf = 0.999368612131)
 set([16, 17, 12, 31]) => set([21]) , (sup = 278575),(conf = 0.892925828579)
 set([16, 17, 12, 21]) => set([31]) , (sup = 278575),(conf = 0.944002033209)
 set([31]) => set([16, 18, 12, 21]) , (sup = 278077),(conf = 0.874422977749)
 set([21]) => set([16, 18, 12, 31]) , (sup = 278077),(conf = 0.919436059026)
 set([12]) => set([16, 18, 21, 31]) , (sup = 278077),(conf = 0.818841689291)
 set([18]) => set([16, 12, 21, 31]) , (sup = 278077),(conf = 0.820063581565)
 set([16]) => set([18, 12, 21, 31]) , (sup = 278077),(conf = 0.836545722013)
 set([21, 31]) => set([16, 18, 12]) , (sup = 278077),(conf = 0.978624041443)
 set([12, 31]) => set([16, 18, 21]) , (sup = 278077),(conf = 0.875742048858)
 set([12, 21]) => set([16, 18, 31]) , (sup = 278077),(conf = 0.920979942769)
 set([18, 31]) => set([16, 12, 21]) , (sup = 278077),(conf = 0.876937874488)
 set([18, 21]) => set([16, 12, 31]) , (sup = 278077),(conf = 0.922388257733)
 set([18, 12]) => set([16, 21, 31]) , (sup = 278077),(conf = 0.820484600995)
 set([16, 31]) => set([18, 12, 21]) , (sup = 278077),(conf = 0.89069862044)
 set([16, 21]) => set([18, 12, 31]) , (sup = 278077),(conf = 0.941523220066)
 set([16, 12]) => set([18, 21, 31]) , (sup = 278077),(conf = 0.837172825308)
 set([16, 18]) => set([12, 21, 31]) , (sup = 278077),(conf = 0.838477890515)
 set([12, 21, 31]) => set([16, 18]) , (sup = 278077),(conf = 0.980089945934)
 set([18, 21, 31]) => set([16, 12]) , (sup = 278077),(conf = 0.981456317876)
 set([18, 12, 31]) => set([16, 21]) , (sup = 278077),(conf = 0.877333518427)
 set([18, 12, 21]) => set([16, 31]) , (sup = 278077),(conf = 0.922881114054)
 set([16, 21, 31]) => set([18, 12]) , (sup = 278077),(conf = 0.997492610555)
 set([16, 12, 31]) => set([18, 21]) , (sup = 278077),(conf = 0.891255296373)
 set([16, 12, 21]) => set([18, 31]) , (sup = 278077),(conf = 0.942215490748)
 set([16, 18, 31]) => set([12, 21]) , (sup = 278077),(conf = 0.892513945681)
 set([16, 18, 21]) => set([12, 31]) , (sup = 278077),(conf = 0.943721577411)
 set([16, 18, 12]) => set([21, 31]) , (sup = 278077),(conf = 0.838877542709)
 set([18, 12, 21, 31]) => set([16]) , (sup = 278077),(conf = 0.981913777944)
 set([16, 12, 21, 31]) => set([18]) , (sup = 278077),(conf = 0.99812275664)
 set([16, 18, 21, 31]) => set([12]) , (sup = 278077),(conf = 0.99956505798)
 set([16, 18, 12, 31]) => set([21]) , (sup = 278077),(conf = 0.892892233989)
 set([16, 18, 12, 21]) => set([31]) , (sup = 278077),(conf = 0.944189410351)
 set([31]) => set([17, 18, 12, 21]) , (sup = 283174),(conf = 0.890450674817)
 set([21]) => set([17, 18, 12, 31]) , (sup = 283174),(conf = 0.936288821365)
 set([12]) => set([17, 18, 21, 31]) , (sup = 283174),(conf = 0.833850611605)
 set([18]) => set([17, 12, 21, 31]) , (sup = 283174),(conf = 0.835094900499)
 set([17]) => set([18, 12, 21, 31]) , (sup = 283174),(conf = 0.832502322518)
 set([21, 31]) => set([17, 18, 12]) , (sup = 283174),(conf = 0.996561687272)
 set([12, 31]) => set([17, 18, 21]) , (sup = 283174),(conf = 0.891793923781)
 set([12, 21]) => set([17, 18, 31]) , (sup = 283174),(conf = 0.937861003656)
 set([18, 31]) => set([17, 12, 21]) , (sup = 283174),(conf = 0.893011668243)
 set([18, 21]) => set([17, 12, 31]) , (sup = 283174),(conf = 0.939295132266)
 set([18, 12]) => set([17, 21, 31]) , (sup = 283174),(conf = 0.835523636986)
 set([17, 31]) => set([18, 12, 21]) , (sup = 283174),(conf = 0.890526282686)
 set([17, 21]) => set([18, 12, 31]) , (sup = 283174),(conf = 0.936384799545)
 set([17, 12]) => set([18, 21, 31]) , (sup = 283174),(conf = 0.833929191969)
 set([17, 18]) => set([12, 21, 31]) , (sup = 283174),(conf = 0.835173715567)
 set([12, 21, 31]) => set([17, 18]) , (sup = 283174),(conf = 0.998054460994)
 set([18, 21, 31]) => set([17, 12]) , (sup = 283174),(conf = 0.99944587779)
 set([18, 12, 31]) => set([17, 21]) , (sup = 283174),(conf = 0.893414564121)
 set([18, 12, 21]) => set([17, 31]) , (sup = 283174),(conf = 0.939797022375)
 set([17, 21, 31]) => set([18, 12]) , (sup = 283174),(conf = 0.996649373869)
 set([17, 12, 31]) => set([18, 21]) , (sup = 283174),(conf = 0.891866950965)
 set([17, 12, 21]) => set([18, 31]) , (sup = 283174),(conf = 0.93795730445)
 set([17, 18, 31]) => set([12, 21]) , (sup = 283174),(conf = 0.893084895009)
 set([17, 18, 21]) => set([12, 31]) , (sup = 283174),(conf = 0.939391727817)
 set([17, 18, 12]) => set([21, 31]) , (sup = 283174),(conf = 0.835602533005)
 set([18, 12, 21, 31]) => set([17]) , (sup = 283174),(conf = 0.999911722852)
 set([17, 12, 21, 31]) => set([18]) , (sup = 283174),(conf = 0.998142410496)
 set([17, 18, 21, 31]) => set([12]) , (sup = 283174),(conf = 0.999534072699)
 set([17, 18, 12, 31]) => set([21]) , (sup = 283174),(conf = 0.893487856978)
 set([17, 18, 12, 21]) => set([31]) , (sup = 283174),(conf = 0.939893721186)
 set([31]) => set([17, 18, 12, 29]) , (sup = 278691),(conf = 0.876353722501)
 set([29]) => set([17, 18, 12, 31]) , (sup = 278691),(conf = 0.93149123628)
 set([12]) => set([17, 18, 29, 31]) , (sup = 278691),(conf = 0.820649709362)
 set([18]) => set([17, 12, 29, 31]) , (sup = 278691),(conf = 0.8218742996)
 set([17]) => set([18, 12, 29, 31]) , (sup = 278691),(conf = 0.819322765384)
 set([29, 31]) => set([17, 18, 12]) , (sup = 278691),(conf = 0.996470941583)
 set([12, 31]) => set([17, 18, 29]) , (sup = 278691),(conf = 0.877675706147)
 set([12, 29]) => set([17, 18, 31]) , (sup = 278691),(conf = 0.933084904429)
 set([18, 31]) => set([17, 12, 29]) , (sup = 278691),(conf = 0.878874172185)
 set([18, 29]) => set([17, 12, 31]) , (sup = 278691),(conf = 0.934596269543)
 set([18, 12]) => set([17, 29, 31]) , (sup = 278691),(conf = 0.82229624865)
 set([17, 31]) => set([18, 12, 29]) , (sup = 278691),(conf = 0.876428133403)
 set([17, 29]) => set([18, 12, 31]) , (sup = 278691),(conf = 0.931590875664)
 set([17, 12]) => set([18, 29, 31]) , (sup = 278691),(conf = 0.8207270457)
 set([17, 18]) => set([12, 29, 31]) , (sup = 278691),(conf = 0.821951866926)
 set([12, 29, 31]) => set([17, 18]) , (sup = 278691),(conf = 0.997962472248)
 set([18, 29, 31]) => set([17, 12]) , (sup = 278691),(conf = 0.999447721853)
 set([18, 12, 31]) => set([17, 29]) , (sup = 278691),(conf = 0.879270689715)
 set([18, 12, 29]) => set([17, 31]) , (sup = 278691),(conf = 0.935085458901)
 set([17, 29, 31]) => set([18, 12]) , (sup = 278691),(conf = 0.996563586171)
 set([17, 12, 31]) => set([18, 29]) , (sup = 278691),(conf = 0.877747577219)
 set([17, 12, 29]) => set([18, 31]) , (sup = 278691),(conf = 0.933184885064)
 set([17, 18, 31]) => set([12, 29]) , (sup = 278691),(conf = 0.878946239679)
 set([17, 18, 29]) => set([12, 31]) , (sup = 278691),(conf = 0.934696574345)
 set([17, 18, 12]) => set([29, 31]) , (sup = 278691),(conf = 0.822373895646)
 set([18, 12, 29, 31]) => set([17]) , (sup = 278691),(conf = 0.999906715414)
 set([17, 12, 29, 31]) => set([18]) , (sup = 278691),(conf = 0.9980553944)
 set([17, 18, 29, 31]) => set([12]) , (sup = 278691),(conf = 0.999540920812)
 set([17, 18, 12, 31]) => set([29]) , (sup = 278691),(conf = 0.879342822255)
 set([17, 18, 12, 29]) => set([31]) , (sup = 278691),(conf = 0.935185868741)
 set([31]) => set([16, 17, 18, 21]) , (sup = 278173),(conf = 0.87472485315)
 set([21]) => set([16, 17, 18, 31]) , (sup = 278173),(conf = 0.919753474208)
 set([18]) => set([16, 17, 21, 31]) , (sup = 278173),(conf = 0.820346690574)
 set([17]) => set([16, 18, 21, 31]) , (sup = 278173),(conf = 0.817799898868)
 set([16]) => set([17, 18, 21, 31]) , (sup = 278173),(conf = 0.83683452112)
 set([21, 31]) => set([16, 17, 18]) , (sup = 278173),(conf = 0.978961889981)
 set([18, 31]) => set([16, 17, 21]) , (sup = 278173),(conf = 0.877240618102)
 set([18, 21]) => set([16, 17, 31]) , (sup = 278173),(conf = 0.922706692097)
 set([17, 31]) => set([16, 18, 21]) , (sup = 278173),(conf = 0.874799125745)
 set([17, 21]) => set([16, 18, 31]) , (sup = 278173),(conf = 0.919847757364)
 set([17, 18]) => set([16, 21, 31]) , (sup = 278173),(conf = 0.820424113726)
 set([16, 31]) => set([17, 18, 21]) , (sup = 278173),(conf = 0.89100611465)
 set([16, 21]) => set([17, 18, 31]) , (sup = 278173),(conf = 0.941848260357)
 set([16, 18]) => set([17, 21, 31]) , (sup = 278173),(conf = 0.838767356661)
 set([16, 17]) => set([18, 21, 31]) , (sup = 278173),(conf = 0.836915087897)
 set([18, 21, 31]) => set([16, 17]) , (sup = 278173),(conf = 0.981795144195)
 set([17, 21, 31]) => set([16, 18]) , (sup = 278173),(conf = 0.979048027988)
